URL,Title,Primary Topic,Intended Keyword,Search Intent,Target Audience,Content Pillar,Funnel Stage,Word Count,Publication Date,Last Meaningful Update,Internal Links,External Citations,CTA,Originality Level,Evidence Level,Potential Keyword Overlap,Recommended Action
/blog/ai-compliance-guide-addressing-hugging-face-risks,AI Compliance Guide: Addressing Hugging Face Risks,Hugging Face model risks,AI compliance Hugging Face,Informational,Compliance officers,AI Governance,TOFU,432,2026-07-29,2026-07-29,2,0,None,Low,Low,None,EXPAND
/blog/ai-voice-agent-architecture-kestrelvoice,How AI Voice Agents Work: KestrelVoice Architecture Deep Dive,Voice AI architecture,AI voice agent architecture,Informational,CTOs and AI engineers,AI Operations,TOFU,549,2026-07-08,2026-07-08,0,0,None,Medium,Medium,/ai-voice-agent-architecture,EXPAND
/blog/build-a-logging-pipeline-for-eu-ai-act-compliance,Build a Logging Pipeline for EU AI Act Compliance,EU AI Act logging,EU AI Act logging pipeline,Informational,Compliance engineers,AI Governance,TOFU,729,2026-07-25,2026-07-25,0,0,None,Medium,Medium,/blog/implementing-immutable-audit-trails-for-soc-2-ai-compliance,EXPAND
/blog/haiec-modular-ai-governance-framework,HAIEC: A Modular AI Governance Framework Explained,HAIEC framework,HAIEC governance framework,Informational,AI governance leaders,AI Governance,TOFU,602,2026-07-10,2026-07-10,0,0,None,Medium,Medium,None,EXPAND
/blog/hidden-seo-risk-ai-assisted-frontend-development,The Hidden SEO Risk in AI-Assisted Frontend Development,AI SEO risks,SEO risk AI-assisted development,Informational,Frontend developers and SEOs,Builder Research,TOFU,2530,2026-07-29,2026-07-29,0,0,None,High,High,None,KEEP
/blog/hipaa-compliant-ai,HIPAA Compliant AI for New York Healthcare: 2026 Guide,HIPAA AI compliance,HIPAA compliant AI,Informational,Healthcare compliance officers,AI Governance,TOFU,1678,2026-07-22,2026-07-22,0,0,None,Medium,Medium,None,REFRESH
/blog/implementing-immutable-audit-trails-for-soc-2-ai-compliance,Implementing Immutable Audit Trails for SOC 2 AI Compliance,SOC 2 audit trails,immutable audit trails SOC 2,Informational,Security engineers,AI Governance,TOFU,613,2026-07-29,2026-07-29,0,0,None,Low,Low,/blog/build-a-logging-pipeline-for-eu-ai-act-compliance,EXPAND
/blog/implementing-rag-row-level-security-for-multi-tenant-ai,Implementing RAG Row-Level Security for Multi-Tenant AI,RAG row-level security,RAG row-level security,Informational,AI engineers,Production AI Architecture,TOFU,662,2026-07-23,2026-07-23,0,0,None,Medium,Medium,/secure-enterprise-rag-architecture,EXPAND
/blog/legal-document-automation,Legal Document Automation for New York Law Firms in 2026,Legal document automation,legal document automation AI,Informational,Law firm technology leaders,Builder Research,TOFU,1202,2026-07-21,2026-07-21,0,0,None,Low,Low,None,REFRESH
/blog/production-rag-architecture-patterns-for-hybrid-search,Production RAG Architecture Patterns for Hybrid Search,RAG hybrid search,RAG architecture hybrid search,Informational,AI engineers,Production AI Architecture,TOFU,715,2026-07-22,2026-07-22,0,0,None,Low,Low,/secure-enterprise-rag-architecture,EXPAND
/blog/securing-ai-systems-after-openai-containment-breach,Securing AI Systems After OpenAI Containment Breach,AI security breach,OpenAI containment breach,Informational,Security teams,AI Governance,TOFU,339,2026-07-25,2026-07-25,0,0,None,Low,Low,None,EXPAND
/blog/seven-layers-ai-compliance-nist-iso-soc2,7 Layers of AI Compliance: NIST AI RMF ISO 42001 & SOC 2,Cross-framework compliance,AI compliance NIST ISO SOC 2,Informational,Compliance officers,AI Governance,TOFU,534,2026-07-05,2026-07-05,0,0,None,Medium,Medium,None,EXPAND
/blog/what-is-llms-txt,What Is llms.txt? Why Every AI-Ready Website Should Publish It,llms.txt format,what is llms.txt,Informational,SEO and AI engineers,Builder Research,TOFU,3983,2026-07-25,2026-07-25,0,0,None,High,High,None,KEEP
/secure-enterprise-rag-architecture,Secure Enterprise RAG Architecture,Enterprise RAG security,secure enterprise RAG architecture,Informational,AI architects,Production AI Architecture,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,/blog/production-rag-architecture-patterns-for-hybrid-search,KEEP
/build-internal-ai-applications-streamlit-rag-mcp,Build Internal AI Applications with Streamlit RAG & MCP,Internal AI tools,build internal AI applications,Informational,Software engineers,Builder Research,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/does-texas-ai-law-apply-to-my-business,Does Texas AI Law Apply to My Business?,Texas AI law applicability,Texas AI law applicability,Informational,Business owners,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/ai-security-tools,AI Security Tools,AI security tooling,AI security tools,Informational,Security teams,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,Medium,None,KEEP
/ai-risk-register,AI Risk Register,AI risk management,AI risk register,Informational,Risk managers,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,Medium,None,KEEP
/ai-vendor-due-diligence-checklist,AI Vendor Due Diligence Checklist,AI vendor assessment,AI vendor due diligence,Informational,Procurement teams,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,Medium,None,KEEP
/ai-incident-evidence-checklist,AI Incident Evidence Checklist,AI incident evidence,AI incident evidence checklist,Informational,Security teams,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,Medium,None,KEEP
/architecture-decision-master-sheet,Architecture Decision Master Sheet,AI architecture decisions,architecture decision master sheet,Informational,AI architects,Production AI Architecture,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/how-to-secure-and-govern-ai,How to Secure and Govern AI,AI security governance,how to secure and govern AI,Informational,CTOs and CISOs,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/why-ai-voice-agents-fail-in-production,Why AI Voice Agents Fail in Production,Voice AI failures,AI voice agents fail production,Informational,AI engineers,AI Operations,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/ai-voice-agent-architecture,AI Voice Agent Architecture,Voice AI architecture,AI voice agent architecture,Informational,AI engineers,AI Operations,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,/blog/ai-voice-agent-architecture-kestrelvoice,KEEP
/kestrel-voice-ai-receptionist-platform,Kestrel Voice AI Receptionist Platform,Kestrel Voice platform,Kestrel Voice AI receptionist,Commercial,Business owners,AI Operations,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/guides/texas-ai-law,Texas AI Law Guide,Texas AI law compliance,Texas AI law guide,Informational,Compliance officers,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/guides/eu-ai-act,EU AI Act Guide,EU AI Act compliance,EU AI Act guide,Informational,Compliance officers,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/guides/nyc-local-law-144,NYC Local Law 144 Guide,NYC bias audit law,NYC Local Law 144 guide,Informational,HR and compliance,AI Governance,MOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/services,Services,AI consulting services,AI consulting services,Commercial,CTOs and CISOs,Production AI Architecture,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,N/A,None,KEEP
/advisory,Advisory,AI advisory services,AI advisory services,Commercial,Executive teams,AI Program Execution,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,N/A,None,KEEP
/solutions/haiec,HAIEC Solution,HAIEC platform,HAIEC AI governance platform,Commercial,AI governance teams,AI Governance,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/solutions/kestrelvoice,KestrelVoice Solution,Kestrel Voice solution,KestrelVoice AI receptionist,Commercial,Business owners,AI Operations,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/solutions/frontofai,FrontOfAI Solution,FrontOfAI platform,FrontOfAI AI intelligence,Commercial,IT leaders,Builder Research,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,Medium,None,KEEP
/solutions/courtcase,CourtCase Solution,CourtCase platform,CourtCase legal AI,Commercial,Legal teams,Builder Research,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,Medium,None,KEEP
/solutions/ai-briefing,AI Briefing Solution,AI briefing service,AI briefing service,Commercial,IT leaders,Builder Research,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,Medium,None,KEEP
/solutions/haiec/exposure-assessment,HAIEC Exposure Assessment,HAIEC exposure assessment,HAIEC exposure assessment,Commercial,AI governance teams,AI Governance,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/products/llmverify,LLMVerify,LLM verification tool,LLMVerify,Commercial,AI engineers,AI Governance,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,High,None,KEEP
/products/print-later,Print Later,Print Later tool,Print Later,Commercial,General users,Builder Research,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,N/A,None,KEEP
/products/pdf-redactor,PDF Redactor,PDF redaction tool,PDF redactor,Commercial,Legal teams,Builder Research,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,N/A,None,KEEP
/products/doc-timeline,Doc Timeline,Document timeline tool,document timeline,Commercial,Legal teams,Builder Research,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,N/A,None,KEEP
/products/skc-log-analyser,SKC Log Analyser,Log analysis tool,SKC log analyser,Commercial,Security teams,AI Governance,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,N/A,None,KEEP
/products/courtcase,CourtCase Product,CourtCase tool,CourtCase legal AI,Commercial,Legal teams,Builder Research,BOFU,N/A,N/A,N/A,N/A,N/A,N/A,Medium,N/A,None,KEEP
/about,About Subodh KC,Professional background,Subodh KC,Informational,All audiences,N/A,TOFU,N/A,N/A,N/A,N/A,N/A,N/A,High,N/A,None,KEEP
